,0
pelvis_tilt,0.14212769707415232
pelvis_list,0.03268172499382942
pelvis_rotation,0.12902909535762883
pelvis_tx,0.2920882084580974
pelvis_ty,0.047573652628452506
pelvis_tz,0.08793006237830742
hip_flexion_r,0.02832859990596853
hip_adduction_r,0.027883318270175844
hip_rotation_r,0.06416437412698396
knee_angle_r,0.0266174302931437
knee_angle_r_beta,0.026617430348232628
ankle_angle_r,0.03716914180228323
subtalar_angle_r,0.0
mtp_angle_r,0.0
hip_flexion_l,0.029844202136372476
hip_adduction_l,0.02736176631646822
hip_rotation_l,0.07263752802758673
knee_angle_l,0.025836416629504276
knee_angle_l_beta,0.025836416922578893
ankle_angle_l,0.04539554605764112
subtalar_angle_l,0.0
mtp_angle_l,0.0
lumbar_extension,0.22576409322450178
lumbar_bending,0.08351740337210256
lumbar_rotation,0.07098095190422794
arm_flex_r,0.08096724448302131
arm_add_r,0.03643853056794505
arm_rot_r,0.0777861857170397
elbow_flex_r,0.04795304273785911
pro_sup_r,0.054769683581526084
wrist_flex_r,0.0
wrist_dev_r,0.0
arm_flex_l,0.049444593058067275
arm_add_l,0.06854294732306046
arm_rot_l,0.08412857963121657
elbow_flex_l,0.056484486229624264
pro_sup_l,0.07585017542110241
wrist_flex_l,0.0
wrist_dev_l,0.0
