,0
pelvis_tilt,0.11688094365478072
pelvis_list,0.02586272850038624
pelvis_rotation,0.049555765224834944
pelvis_tx,0.0721619046192171
pelvis_ty,0.02635609742158678
pelvis_tz,0.038251001254210014
hip_flexion_r,0.009295317865420302
hip_adduction_r,0.021966398999808217
hip_rotation_r,0.05833401246767834
knee_angle_r,0.00998839413396879
knee_angle_r_beta,0.009988394136071534
ankle_angle_r,0.019038949006623195
subtalar_angle_r,0.0
mtp_angle_r,0.0
hip_flexion_l,0.014751292828633234
hip_adduction_l,0.030109932376592066
hip_rotation_l,0.06849765142932406
knee_angle_l,0.012444105981954244
knee_angle_l_beta,0.01244410601318078
ankle_angle_l,0.008404143625809476
subtalar_angle_l,0.0
mtp_angle_l,0.0
lumbar_extension,0.09113447131276932
lumbar_bending,0.02155236479870526
lumbar_rotation,0.02670176805441005
arm_flex_r,0.023033886326302423
arm_add_r,0.04887957803750385
arm_rot_r,0.09730886865795511
elbow_flex_r,0.03100264839977301
pro_sup_r,0.12984655253266963
wrist_flex_r,0.0
wrist_dev_r,0.0
arm_flex_l,0.03817575997340247
arm_add_l,0.03557454252638245
arm_rot_l,0.047764322848604525
elbow_flex_l,0.04411935757568896
pro_sup_l,0.09033931177821641
wrist_flex_l,0.0
wrist_dev_l,0.0
