,0
pelvis_tilt,0.09913775404397102
pelvis_list,0.038027062260988044
pelvis_rotation,0.09443761869346032
pelvis_tx,0.12756422939646517
pelvis_ty,0.029847559625888972
pelvis_tz,0.10591176929520751
hip_flexion_r,0.011929637443027512
hip_adduction_r,0.03851418849716451
hip_rotation_r,0.051148534426924075
knee_angle_r,0.018718617066425688
knee_angle_r_beta,0.018718617048984948
ankle_angle_r,0.023307991220635225
subtalar_angle_r,0.0
mtp_angle_r,0.0
hip_flexion_l,0.014410384128189348
hip_adduction_l,0.049642147674806354
hip_rotation_l,0.09184339759589877
knee_angle_l,0.010194729235419862
knee_angle_l_beta,0.010194729389195295
ankle_angle_l,0.016900899524627557
subtalar_angle_l,0.0
mtp_angle_l,0.0
lumbar_extension,0.09209642025526975
lumbar_bending,0.02465503597512249
lumbar_rotation,0.026749701206440605
arm_flex_r,0.023342674679707888
arm_add_r,0.05870580912756588
arm_rot_r,0.0335798505976097
elbow_flex_r,0.01791781428681029
pro_sup_r,0.055639343233645756
wrist_flex_r,0.0
wrist_dev_r,0.0
arm_flex_l,0.020818343076173536
arm_add_l,0.05215010857374674
arm_rot_l,0.09888075982305956
elbow_flex_l,0.016483798283229614
pro_sup_l,0.04370299844062286
wrist_flex_l,0.0
wrist_dev_l,0.0
